Date,Positive,Hospitalized,Death
17-03-2020,10021,325,124
18-03-2020,13385,416,155
19-03-2020,18085,617,203
20-03-2020,24197,1042,273
21-03-2020,31013,1492,335
22-03-2020,40167,2173,481
23-03-2020,51602,2812,582
24-03-2020,62351,3938,820
25-03-2020,75242,5140,1058
26-03-2020,92976,7805,1374
27-03-2020,112220,10978,1782
28-03-2020,131826,12409,2333
29-03-2020,151270,14055,2837
30-03-2020,172740,15917,3425
31-03-2020,197924,18155,4332
01-04-2020,224040,20906,5336
02-04-2020,252085,22997,6514
03-04-2020,283923,25777,7799
04-04-2020,316808,30268,9280
05-04-2020,342463,32180,10619
06-04-2020,370872,36159,11932
07-04-2020,401573,43849,13976
08-04-2020,432490,45515,15973
09-04-2020,467580,51313,18035
10-04-2020,501069,53167,20107
11-04-2020,532174,55557,22186
12-04-2020,560175,55449,23886
13-04-2020,584573,56237,25516
14-04-2020,610651,59600,27869
15-04-2020,640510,59924,30415
16-04-2020,672087,59498,32612
17-04-2020,704069,58886,34730
18-04-2020,731895,57788,36621
19-04-2020,759174,56497,38384
20-04-2020,785279,56734,40199
21-04-2020,811492,59773,42680
22-04-2020,840628,59212,44762
23-04-2020,872598,59216,46576
24-04-2020,906872,57324,48548
25-04-2020,942523,57343,50175
26-04-2020,969581,56149,51397
27-04-2020,992176,56183,52684
28-04-2020,1017548,56034,54761
29-04-2020,1043774,55987,57446
30-04-2020,1073745,54921,59599
01-05-2020,1106547,54862,61407
02-05-2020,1135581,54009,62938
03-05-2020,1161121,52619,64181
04-05-2020,1183622,52377,65209
05-05-2020,1206134,53176,67703
06-05-2020,1231277,52581,69619
07-05-2020,1258504,51425,72371
08-05-2020,1285663,49758,74152
09-05-2020,1310843,48561,75608
10-05-2020,1331733,46760,76640
11-05-2020,1350031,46550,77534
12-05-2020,1372589,47344,79040
13-05-2020,1394217,46918,80774
14-05-2020,1420930,45924,82626
15-05-2020,1446352,44551,83889
16-05-2020,1469938,43507,85084
17-05-2020,1490090,42022,85934
18-05-2020,1510934,41921,86823
19-05-2020,1531816,42023,88155
20-05-2020,1553075,41871,89545
21-05-2020,1579817,41347,90972
22-05-2020,1603990,40014,92275
23-05-2020,1626355,38581,93310
24-05-2020,1645215,37757,93994
25-05-2020,1663746,37711,94548
26-05-2020,1680724,37775,95220
27-05-2020,1700135,38297,96536
28-05-2020,1722794,38003,97778
29-05-2020,1746382,36948,98947
30-05-2020,1769819,35735,99865
31-05-2020,1791211,34911,100516
01-06-2020,1811573,34316,101187
02-06-2020,1831728,33950,102187
03-06-2020,1851883,33237,103167
04-06-2020,1872266,32814,104031
05-06-2020,1895332,32499,104875
06-06-2020,1917890,31994,105586
07-06-2020,1936708,31490,106032
08-06-2020,1953938,31121,106708
09-06-2020,1971089,31187,107609
10-06-2020,1991816,30952,108493
11-06-2020,2013887,29844,109392
12-06-2020,2036983,29309,110155
13-06-2020,2062228,28578,110845
14-06-2020,2083561,28020,111200
15-06-2020,2102215,28026,111606
16-06-2020,2125483,28386,112312
17-06-2020,2149389,28664,113106
18-06-2020,2176478,28521,113799
19-06-2020,2207437,28706,114455
20-06-2020,2239388,28084,115066
21-06-2020,2268236,28325,115359
22-06-2020,2295415,28954,115653
23-06-2020,2329300,30394,116378
24-06-2020,2368309,31271,117085
